service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
3229_400700,1,1,1,1,1,1,1,20260303,20260307
3230_400701,1,1,1,1,1,1,1,20260308,20260613
3231_400702,1,1,1,1,1,1,1,20260614,20261212
3232_400703,1,1,1,1,1,1,1,20260303,20260307
3233_400704,1,1,1,1,1,1,1,20260308,20260613
323_397375,0,0,0,0,0,1,1,20260614,20261212
3234_400705,1,1,1,1,1,1,1,20260614,20261212
3235_400706,1,1,1,1,1,1,1,20260303,20260307
3236_400707,1,1,1,1,1,1,1,20260308,20260613
3237_400708,1,1,1,1,1,1,1,20260614,20261212
3238_400709,1,1,1,1,1,1,1,20260303,20260307
3239_400710,1,1,1,1,1,1,1,20260308,20260613
32_397028,1,1,1,1,1,1,1,20260303,20260307
3240_400711,1,1,1,1,1,1,1,20260614,20261212
3241_400712,1,1,1,1,1,1,1,20260303,20260307
3242_400713,1,1,1,1,1,1,1,20260308,20260613
3243_400714,1,1,1,1,1,1,1,20260614,20261212
324_397377,1,1,1,1,1,0,0,20260303,20260306
3244_400715,1,1,1,1,1,1,1,20260303,20260307
3245_400716,1,1,1,1,1,1,1,20260308,20260613
3246_400717,1,1,1,1,1,1,1,20260303,20260307
3247_400718,1,1,1,1,1,1,1,20260308,20260613
3248_400719,1,1,1,1,1,1,1,20260303,20260307
3249_400720,1,1,1,1,1,1,1,20260308,20260613
3250_400721,1,1,1,1,1,1,1,20260303,20260307
3251_400722,1,1,1,1,1,1,1,20260308,20260613
3252_400723,1,1,1,1,1,1,1,20260303,20260307
3253_400724,1,1,1,1,1,1,1,20260308,20260613
325_397378,1,1,1,1,1,0,0,20260309,20260612
3254_400725,1,1,1,1,1,1,1,20260614,20261212
3255_400726,1,1,1,1,1,1,1,20260614,20261212
3256_400727,1,1,1,1,1,1,1,20260614,20261212
3257_400728,1,1,1,1,1,1,1,20260614,20261212
3258_400729,1,1,1,1,1,1,1,20260614,20261212
3259_400730,0,0,0,0,0,0,1,20260621,20260830
3260_400731,1,1,1,1,1,1,1,20260303,20260307
326_397379,1,1,1,1,1,0,0,20260615,20261211
327_397380,1,1,1,1,1,1,1,20260303,20260307
328_397381,0,0,0,0,0,1,1,20260308,20260613
329_397382,1,1,1,1,1,0,0,20260309,20260612
330_397383,1,1,1,1,1,1,1,20260614,20261212
331_397384,1,1,1,1,1,1,1,20260303,20260307
332_397386,1,1,1,1,1,1,1,20260308,20260613
333_397387,1,1,1,1,1,1,1,20260614,20261212
33_397029,0,0,0,0,0,1,1,20260308,20260613
334_397388,0,0,0,0,0,1,1,20260303,20260307
335_397389,0,0,0,0,0,1,1,20260308,20260613
336_397390,0,0,0,0,0,1,1,20260614,20261212
337_397391,1,1,1,1,1,0,0,20260303,20260306
338_397393,1,1,1,1,1,0,0,20260309,20260612
339_397394,1,1,1,1,1,0,0,20260615,20261211
3_396996,1,1,1,1,1,1,1,20260614,20261212
340_397395,1,1,1,1,1,1,1,20260303,20260307
341_397396,1,1,1,1,1,1,1,20260308,20260613
342_397397,1,1,1,1,1,1,1,20260614,20261212
343_397398,1,1,1,1,1,0,0,20260303,20260306
34_397030,1,1,1,1,1,1,1,20260614,20261028
344_397399,1,1,1,1,1,0,0,20260309,20260612
345_397400,1,1,1,1,1,0,0,20260615,20261211
346_397402,0,0,0,0,0,1,1,20260303,20260307
347_397403,0,0,0,0,0,1,1,20260308,20260613
348_397404,0,0,0,0,0,1,1,20260614,20261212
349_397407,1,1,1,1,1,1,1,20260303,20260307
350_397408,1,1,1,1,1,1,1,20260308,20260613
351_397409,1,1,1,1,1,1,1,20260614,20261212
352_397410,1,1,1,1,1,1,1,20260303,20260307
353_397411,1,1,1,1,1,1,1,20260308,20260613
35_397031,1,1,1,1,1,1,1,20260303,20260307
354_397412,1,1,1,1,1,1,1,20260614,20261212
355_397413,0,0,0,0,0,1,1,20260303,20260307
356_397414,0,0,0,0,0,1,1,20260308,20260613
357_397415,0,0,0,0,0,1,1,20260614,20261212
358_397416,1,1,1,1,1,0,0,20260303,20260306
359_397417,1,1,1,1,1,0,0,20260309,20260318
360_397418,1,1,1,1,1,0,0,20260319,20260612
361_397419,1,1,1,1,1,0,0,20260615,20261211
362_397420,1,1,1,1,1,1,1,20260303,20260307
363_397421,1,1,1,1,1,1,1,20260308,20260330
36_397033,0,0,0,0,0,1,1,20260308,20260613
364_397422,1,1,1,1,1,1,1,20260331,20260613
365_397423,1,1,1,1,1,1,1,20260614,20261212
366_397424,0,0,0,0,0,1,1,20260303,20260307
367_397425,1,1,1,1,1,0,0,20260303,20260306
368_397426,0,0,0,0,0,1,1,20260308,20260613
369_397427,1,1,1,1,1,0,0,20260309,20260612
370_397428,1,1,1,1,1,1,1,20260614,20261212
371_397429,1,1,1,1,1,1,1,20260303,20260307
372_397430,1,1,1,1,1,1,1,20260308,20260613
373_397431,1,1,1,1,1,1,1,20260614,20261212
37_397034,1,1,1,1,1,1,1,20260614,20261028
374_397432,1,1,1,1,1,0,0,20260303,20260306
375_397433,1,1,1,1,1,0,0,20260309,20260612
376_397434,1,1,1,1,1,0,0,20260615,20261211
377_397435,0,0,0,0,0,1,1,20260303,20260307
378_397436,0,0,0,0,0,1,1,20260308,20260613
379_397437,1,1,1,1,1,1,1,20260614,20261212
380_397438,1,1,1,1,1,1,1,20260303,20260307
381_397439,1,1,1,1,1,1,1,20260308,20260613
382_397440,1,1,1,1,1,0,0,20260615,20261211
383_397441,1,1,1,1,1,0,0,20260303,20260306
38_397035,1,1,1,1,1,1,1,20260303,20260307
384_397442,1,1,1,1,1,0,0,20260309,20260318
385_397443,1,1,1,1,1,0,0,20260319,20260612
386_397444,1,1,1,1,1,1,1,20260614,20261212
387_397445,1,1,1,1,1,1,1,20260303,20260307
388_397446,1,1,1,1,1,1,1,20260308,20260613
389_397447,1,1,1,1,1,1,1,20260303,20260307
390_397448,1,1,1,1,1,1,1,20260308,20260613
391_397449,1,1,1,1,1,1,1,20260614,20261212
392_397450,1,1,1,1,1,1,1,20260303,20260307
393_397451,1,1,1,1,1,1,1,20260308,20260613
39_397036,1,1,1,1,1,1,1,20260308,20260613
394_397452,1,1,1,1,1,1,1,20260614,20261212
395_397453,0,0,0,0,0,1,1,20260303,20260307
396_397454,1,1,1,1,1,0,0,20260303,20260306
397_397455,0,0,0,0,0,1,1,20260308,20260613
398_397456,1,1,1,1,1,0,0,20260309,20260612
399_397457,1,1,1,1,1,0,0,20260615,20261211
400_397458,1,1,1,1,1,0,0,20260303,20260306
401_397459,1,1,1,1,1,0,0,20260309,20260612
402_397460,1,1,1,1,1,1,1,20260614,20261212
403_397461,1,1,1,1,1,1,1,20260303,20260307
40_397037,1,1,1,1,1,1,1,20260614,20261212
404_397462,1,1,1,1,1,1,1,20260308,20260613
405_397463,1,1,1,1,1,1,1,20260614,20261212
406_397464,0,0,0,0,0,1,1,20260303,20260307
407_397465,0,0,0,0,0,1,1,20260308,20260321
408_397466,0,0,0,0,0,1,1,20260322,20260613
409_397467,0,0,0,0,0,1,1,20260614,20261212
410_397468,1,1,1,1,1,0,0,20260303,20260306
411_397469,1,1,1,1,1,0,0,20260309,20260527
412_397470,1,1,1,1,1,0,0,20260528,20260611
413_397471,1,1,1,1,1,1,1,20260612,20260612
41_397038,1,1,1,1,1,1,1,20260303,20260307
414_397473,1,1,1,1,1,0,0,20260303,20260306
415_397476,0,0,0,0,0,1,1,20260303,20260307
416_397477,1,1,1,1,1,1,1,20260308,20260613
417_397478,1,1,1,1,1,1,1,20260614,20261212
418_397479,1,1,1,1,1,1,1,20260303,20260307
419_397480,1,1,1,1,1,1,1,20260308,20260613
420_397481,1,1,1,1,1,1,1,20260614,20261212
421_397482,1,1,1,1,1,0,0,20260309,20260612
422_397483,1,1,1,1,1,1,1,20260303,20260307
423_397485,1,1,1,1,1,1,1,20260308,20260613
